time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,26.7,23.6,29.8,,,52.0,7.4,,1012.9,
2020-01-02,26.4,24.3,29.0,,,36.0,6.6,,1012.9,
2020-01-03,26.6,24.2,29.8,,,87.0,6.6,,1012.2,
2020-01-04,26.8,23.8,30.3,,,85.0,7.3,,1010.8,
2020-01-05,27.0,23.8,30.4,,,77.0,6.9,,1010.8,
2020-01-06,26.6,23.7,29.5,,,102.0,6.3,,1011.2,
2020-01-07,26.6,24.2,29.8,,,90.0,5.9,,1010.9,
2020-01-08,26.6,23.6,29.7,,,94.0,5.9,,1010.8,
2020-01-09,26.7,25.0,29.0,,,71.0,6.2,,1010.1,
2020-01-10,27.0,24.5,30.0,,,75.0,6.5,,1008.9,
2020-01-11,26.8,24.7,29.3,,,80.0,6.2,,1008.4,
2020-01-12,26.5,24.7,28.7,,,59.0,5.3,,1008.4,
2020-01-13,27.3,24.5,30.5,,,,5.3,,1008.6,
2020-01-14,27.5,25.0,30.5,,,158.0,5.2,,1009.8,
2020-01-15,27.6,25.0,30.4,,,155.0,5.6,,1011.0,
2020-01-16,27.4,25.4,30.0,,,128.0,5.5,,1010.8,
2020-01-17,27.5,24.8,30.9,,,138.0,5.2,,1011.3,
2020-01-18,27.4,24.0,31.2,,,141.0,5.6,,1011.6,
2020-01-19,27.4,24.0,31.2,,,130.0,5.9,,1012.2,
2020-01-20,27.0,24.5,30.0,,,66.0,6.7,,1013.3,
2020-01-21,26.8,23.9,30.7,,,58.0,7.9,,1014.8,
2020-01-22,26.1,22.7,29.6,,,50.0,7.2,,1014.4,
2020-01-23,26.7,24.0,29.4,,,39.0,6.9,,1012.9,
2020-01-24,27.4,24.7,30.4,,,81.0,6.7,,1011.7,
2020-01-25,27.4,25.2,30.1,,,118.0,5.9,,1011.2,
2020-01-26,27.6,25.1,30.4,,,134.0,5.9,,1010.7,
2020-01-27,27.7,25.2,30.5,,,152.0,5.7,,1010.6,
2020-01-28,27.6,25.0,30.4,,,140.0,5.9,,1011.0,
2020-01-29,27.5,24.9,30.6,,,151.0,5.7,,1011.2,
2020-01-30,27.3,24.5,30.8,,,143.0,5.9,,1010.9,
2020-01-31,26.9,23.7,30.6,,,89.0,5.8,,1011.9,
2020-02-01,26.6,23.5,30.0,,,67.0,6.5,,1013.3,
2020-02-02,26.4,23.9,29.7,,,49.0,7.5,,1013.5,
2020-02-03,26.3,23.4,29.9,,,61.0,7.4,,1013.6,
2020-02-04,26.1,22.4,30.1,,,58.0,6.6,,1012.4,
2020-02-05,26.6,22.9,30.4,,,29.0,5.9,,1010.8,
2020-02-06,26.6,24.8,28.9,,,54.0,5.5,,1010.4,
2020-02-07,27.0,24.9,29.7,,,92.0,5.9,,1011.1,
2020-02-08,27.1,24.9,30.0,,,99.0,6.2,,1011.9,
2020-02-09,26.9,23.1,30.9,,,83.0,6.9,,1012.6,
2020-02-10,26.7,24.4,29.4,,,38.0,7.2,,1013.1,
2020-02-11,26.6,23.9,30.1,,,46.0,8.2,,1014.4,
2020-02-12,26.5,23.2,30.1,,,70.0,7.2,,1014.5,
2020-02-13,26.4,24.0,29.1,,,60.0,6.3,,1013.7,
2020-02-14,27.1,24.3,30.0,,,62.0,6.7,,1012.5,
2020-02-15,27.3,24.3,30.8,,,90.0,7.0,,1012.5,
2020-02-16,27.1,23.9,30.5,,,101.0,6.5,,1012.7,
2020-02-17,26.9,24.4,30.0,,,50.0,6.1,,1012.6,
2020-02-18,26.8,24.1,30.1,,,78.0,6.5,,1013.0,
2020-02-19,26.6,23.6,30.1,,,83.0,6.7,,1012.9,
2020-02-20,26.7,23.6,30.4,,,71.0,7.3,,1013.2,
2020-02-21,26.6,23.1,30.3,,,72.0,7.4,,1014.0,
2020-02-22,26.6,23.2,30.4,,,82.0,6.9,,1014.7,
2020-02-23,26.9,23.3,30.8,,,80.0,7.9,,1013.8,
2020-02-24,27.3,24.0,30.9,,,79.0,7.7,,1012.6,
2020-02-25,27.3,24.8,30.1,,,78.0,7.1,,1011.8,
2020-02-26,27.4,24.4,30.9,,,90.0,6.9,,1011.4,
2020-02-27,27.3,24.2,30.6,,,80.0,6.6,,1011.1,
2020-02-28,27.3,24.9,30.1,,,83.0,6.8,,1010.7,
2020-02-29,27.0,25.3,29.5,,,64.0,6.5,,1010.6,
2020-03-01,27.1,24.2,30.6,,,74.0,6.5,,1010.9,
2020-03-02,27.5,24.9,30.8,,,93.0,6.6,,1011.0,
2020-03-03,27.4,24.2,31.1,,,102.0,7.1,,1011.3,
2020-03-04,27.7,24.3,31.3,,,83.0,6.7,,1010.8,
2020-03-05,27.3,25.5,29.4,,,44.0,5.1,,1010.2,
2020-03-06,26.8,25.6,28.4,,,55.0,4.9,,1010.6,
2020-03-07,27.3,25.3,29.7,,,133.0,5.2,,1011.5,
2020-03-08,27.6,25.2,30.7,,,150.0,5.3,,1011.2,
2020-03-09,27.7,24.6,31.5,,,140.0,6.1,,1010.7,
2020-03-10,27.5,23.9,31.6,,,117.0,5.8,,1011.3,
2020-03-11,27.4,23.5,31.6,,,111.0,6.5,,1012.8,
2020-03-12,27.6,24.1,31.5,,,93.0,7.8,,1013.1,
2020-03-13,27.5,23.9,31.5,,,93.0,7.3,,1013.5,
2020-03-14,27.4,23.8,31.3,,,107.0,5.9,,1012.0,
2020-03-15,27.4,24.0,31.3,,,106.0,6.1,,1012.0,
2020-03-16,27.4,23.8,31.6,,,101.0,6.8,,1012.6,
2020-03-17,27.5,24.1,31.3,,,92.0,6.9,,1013.1,
2020-03-18,27.4,24.7,30.6,,,96.0,7.1,,1012.5,
2020-03-19,27.7,24.5,31.2,,,123.0,6.3,,1012.1,
